rank,company,aoi_score,clinical_signal,citation_signal,need_signal
1,Roche,0.833,0.417,1.0,1.0
2,Amgen,0.515,0.167,0.708,0.619
3,BMS,0.495,0.583,0.542,0.405
4,J&J,0.466,1.0,0.292,0.226
5,AstraZeneca,0.44,1.0,0.167,0.25
6,UCB,0.376,0.917,0.292,0.071
7,Takeda,0.311,0.833,0.042,0.143
8,Novartis,0.286,0.083,0.417,0.333
9,Sanofi,0.26,0.5,0.0,0.274
10,Pfizer,0.126,0.0,0.083,0.238
11,GSK,0.117,0.0,0.125,0.19
12,AbbVie,0.111,0.333,0.0,0.036
13,Lundbeck,0.029,0.083,0.0,0.012
14,Eli Lilly,0.026,0.0,0.0,0.06
