company,bilirubin,antioxidant,ir_injury,total_cit,angle
Roche,17,6,19,42,Co-dev (기전 역량 보유)
BMS,0,1,35,36,Co-dev (기전 역량 보유)
Novartis,3,11,19,33,Co-dev (기전 역량 보유)
Boehringer Ingelheim,25,2,5,32,Co-dev (기전 역량 보유)
Takeda,0,1,17,18,Co-dev (기전 역량 보유)
Bayer,7,2,2,11,Co-dev (기전 역량 보유)
Sanofi,7,2,2,11,Co-dev (기전 역량 보유)
AstraZeneca,0,2,4,6,Co-dev (기전 역량 보유)
CSL,0,0,4,4,Co-dev (기전 역량 보유)
Novo Nordisk,3,0,1,4,Co-dev (기전 역량 보유)
Amgen,0,1,2,3,Co-dev (기전 역량 보유)
Ionis,0,0,2,2,관망
AbbVie,0,1,0,1,LO (역량 gap + 관심)
Alnylam,0,0,0,0,LO (역량 gap + 관심)
