rank,company,aoi_score,clinical_signal,citation_signal,need_signal
1,Roche,0.714,0.0,1.0,1.0
2,BMS,0.505,0.0,0.857,0.607
3,Boehringer Ingelheim,0.451,0.333,0.762,0.321
4,Amgen,0.444,1.0,0.071,0.321
5,Novartis,0.362,0.0,0.786,0.321
6,Takeda,0.344,0.667,0.429,0.071
7,Sanofi,0.327,0.667,0.262,0.143
8,CSL,0.233,0.667,0.095,0.036
9,AbbVie,0.19,0.0,0.024,0.429
10,Novo Nordisk,0.18,0.0,0.095,0.357
11,Bayer,0.136,0.0,0.262,0.143
12,Alnylam,0.107,0.0,0.0,0.25
13,AstraZeneca,0.102,0.0,0.143,0.143
14,Ionis,0.014,0.0,0.048,0.0
