rank,company,aoi_score,clinical_signal,citation_signal,need_signal
1,Roche,0.729,1.0,0.051,1.0
2,Amgen,0.484,0.714,0.256,0.483
3,Novo Nordisk,0.444,0.429,1.0,0.084
4,Eli Lilly,0.382,0.714,0.479,0.096
5,Boehringer Ingelheim,0.325,0.429,0.077,0.421
6,Merck,0.222,0.143,0.077,0.371
7,Pfizer,0.205,0.286,0.145,0.191
8,Zealand Pharma,0.171,0.0,0.504,0.062
9,AstraZeneca,0.169,0.143,0.103,0.23
10,Novartis,0.152,0.0,0.043,0.326
11,Viking Therapeutics,0.002,0.0,0.009,0.0
12,Structure Therapeutics,0.0,0.0,0.0,0.0
