company,caspase,thromboinflammation,total_cit,angle
BMS,2,33,35,Co-dev (기전 역량 보유)
Novartis,2,16,18,Co-dev (기전 역량 보유)
Roche,1,14,15,Co-dev (기전 역량 보유)
Merck,2,13,15,Co-dev (기전 역량 보유)
Bayer,1,8,9,Co-dev (기전 역량 보유)
J&J,1,3,4,Co-dev (기전 역량 보유)
Novo Nordisk,0,2,2,LO (역량 gap + 관심)
Pfizer,0,1,1,LO (역량 gap + 관심)
AstraZeneca,0,1,1,LO (역량 gap + 관심)
GSK,0,1,1,LO (역량 gap + 관심)
Boehringer Ingelheim,0,1,1,LO (역량 gap + 관심)
Amgen,0,0,0,LO (역량 gap + 관심)
AbbVie,0,0,0,LO (역량 gap + 관심)
Sanofi,0,0,0,LO (역량 gap + 관심)
