rank,company,aoi_score,clinical_signal,citation_signal,need_signal
1,BMS,0.717,0.667,1.0,0.561
2,Roche,0.551,0.0,0.429,1.0
3,Amgen,0.514,0.833,0.0,0.643
4,Merck,0.466,0.667,0.429,0.357
5,J&J,0.437,0.833,0.114,0.388
6,Novartis,0.386,0.333,0.514,0.337
7,Novo Nordisk,0.363,1.0,0.057,0.143
8,Boehringer Ingelheim,0.309,0.333,0.029,0.48
9,Bayer,0.178,0.0,0.257,0.245
10,Pfizer,0.165,0.167,0.029,0.255
11,Sanofi,0.157,0.0,0.0,0.367
12,AstraZeneca,0.134,0.333,0.029,0.071
13,GSK,0.052,0.0,0.029,0.102
14,AbbVie,0.052,0.0,0.0,0.122
