rank,company,aoi_score,clinical_signal,citation_signal,need_signal
1,Incyte,0.717,1.0,1.0,0.34
2,Roche,0.457,0.0,0.098,1.0
3,Novartis,0.303,0.667,0.039,0.237
4,BMS,0.248,0.0,0.167,0.468
5,Merck,0.218,0.444,0.059,0.173
6,Takeda,0.161,0.333,0.02,0.141
7,GSK,0.122,0.222,0.059,0.096
8,Eli Lilly,0.105,0.222,0.059,0.058
9,Pfizer,0.103,0.111,0.01,0.16
10,Sanofi,0.071,0.0,0.01,0.16
11,AstraZeneca,0.055,0.0,0.01,0.122
12,Gilead,0.055,0.0,0.02,0.115
13,AbbVie,0.027,0.0,0.0,0.064
14,Sobi,0.008,0.0,0.029,0.0
