rank,company,license_out_score,gap,interest,activity,buyer_tier,cash_usd_bn,ma_lo,valuechain
1,Incyte,0.6989,0.34,1.0,1.0,unknown,,unknown,unknown
2,Roche,0.4794,1.0,0.098,0.0,mega,15,high,integrated
3,Novartis,0.3614,0.237,0.039,0.667,mega,11,high,integrated
4,BMS,0.3138,0.468,0.167,0.0,mega,11,high,integrated
5,Merck,0.2893,0.173,0.059,0.444,mega,13,high,integrated
6,Takeda,0.2086,0.141,0.02,0.333,large,5,med,integrated
7,Eli Lilly,0.1934,0.058,0.059,0.222,mega,4,med,integrated
8,Pfizer,0.1868,0.16,0.01,0.111,mega,13,high,integrated
9,GSK,0.1769,0.096,0.059,0.222,large,5,med,integrated
10,Sanofi,0.159,0.16,0.01,0.0,mega,13,high,integrated
11,AstraZeneca,0.1456,0.122,0.01,0.0,mega,8,high,integrated
12,Gilead,0.1163,0.115,0.02,0.0,large,6,high,integrated
